product_snapshot_id,source_product_id,supermarket,scrape_date,product_url,product_name,category_raw,subcategory_raw,brand_raw,price_raw,price_value,price_per_unit_raw,price_per_unit_raw_norm,unit_price_value_raw,unit_base_unit_std,unit_family,unit_price_std_value,unit_price_std_unit,case_size_raw,case_pack_count,case_unit_quantity,case_unit_measure,case_count_measure,case_total_quantity,case_total_unit,case_unit_family,case_type,case_parse_status,case_parse_method,case_validation_status,offer_flag,quality_status,brand_norm,brand_std,brand_group,is_private_label,brand_parse_status,brand_parse_method,category_norm,subcategory_norm,product_norm,group_std,category_std,subcategory_std,brand_inferred,brand_inference_confidence,brand_inference_method,brand_previous_inferred,brand_link_review_status,brand_evidence,brand_review_notes
245ccdf75e649c178fe5d7979c271fbb,769b4f7cfefaf97f1e5b5ab5e80810fd,carrefour,2026-05-24,https://www.carrefour.es/supermercado/ambientador-concentrado-deluxe-foresan-125-ml/R-699205666/p,Ambientador concentrado Deluxe Foresan 125 ml.,Ambientadores,Absorbeolores y antihumedad,,"1,70 €",1.7,"13,60 €/l",13.60 €/l,13.6,l,volume,13.6,l,125 ml,1,125,ml,,0.125,l,volume,single,parsed,product_name_regex,matched_unit_price,false,keep_fully_parsed,,,,false,missing,,ambientadores,absorbeolores y antihumedad,ambientador concentrado deluxe foresan 125 ml.,Hogar y Personal,Limpieza y Hogar,Hogar,Foresan,high,web_verified_brand_dictionary,Deluxe Foresan,page_brand_field_verified_on_sample,brand_dictionary_from_accessible_product_page,Marca contrastada con el campo de marca de una ficha accesible y aplicada a nombres equivalentes.
5843de11ed4444d49f8e28ca8c480750,b8087b98e5e836a107715dd600036da0,carrefour,2026-05-24,https://www.carrefour.es/supermercado/ambientador-absorbeolores-lavanda-glade-pack-de-2-unidades-de-150-g/R-521028660/p,Ambientador absorbeolores lavanda Glade pack de 2 unidades de 150 g.,Ambientadores,Absorbeolores y antihumedad,,"5,65 €",5.65,"18,83 €/kg",18.83 €/kg,18.83,kg,weight,18.83,kg,pack de 2 unidades de 150 g,2,150,g,unidades,0.3,kg,weight,multipack,parsed,product_name_regex,matched_unit_price,false,keep_fully_parsed,,,,false,missing,,ambientadores,absorbeolores y antihumedad,ambientador absorbeolores lavanda glade pack de 2 unidades de 150 g.,Hogar y Personal,Limpieza y Hogar,Hogar,Glade,high,web_verified_brand_dictionary,Glade,page_brand_field_verified_on_sample,brand_dictionary_from_accessible_product_page,Marca contrastada con el campo de marca de una ficha accesible y aplicada a nombres equivalentes.
2c9105c5953268ac0b096f1d5bde9e94,4ce97007148bccfa7f45dea6e30a43b2,carrefour,2026-05-24,https://www.carrefour.es/supermercado/detergente-para-biberones-y-tetinas-suavinex-500-ml/R-prod850172/p,Detergente para biberones y tetinas Suavinex 500 ml.,Puericultura,Accesorios,,"6,59 €",6.59,"1,32 €/100ml",1.32 €/100ml,1.32,,,,,500 ml,1,500,ml,,0.5,l,volume,single,parsed,product_name_regex,unavailable,false,keep_unknown_unit_pattern,,,,false,missing,,puericultura,accesorios,detergente para biberones y tetinas suavinex 500 ml.,Hogar y Personal,Bebés y Mascotas,Bebés,Suavinex,high,web_verified_brand_dictionary,Suavinex,page_brand_field_verified_on_sample,brand_dictionary_from_accessible_product_page,Marca contrastada con el campo de marca de una ficha accesible y aplicada a nombres equivalentes.
8e912bd1c5da7f659cfd1a069323ac17,32fb1b3e0a1408de6675b83bec13f581,carrefour,2026-05-24,https://www.carrefour.es/supermercado/sazonador-especial-air-fryer-cheesy-chips-ducros-140-g/R-VC4AECOMM-671563/p,Sazonador especial Air Fryer Cheesy Chips Ducros 140 g.,Air Fryer,Accesorios Air Fryer,,"3,99 €",3.99,"28,50 €/kg",28.50 €/kg,28.5,kg,weight,28.5,kg,140 g,1,140,g,,0.14,kg,weight,single,parsed,product_name_regex,matched_unit_price,false,keep_fully_parsed,,,,false,missing,,air fryer,accesorios air fryer,sazonador especial air fryer cheesy chips ducros 140 g.,Hogar y Personal,Limpieza y Hogar,Hogar,Air Fryer Cheesy Chips Ducros,high,capitalized_span,Air Fryer Cheesy Chips Ducros,not_in_low_medium_scope,existing_high_confidence,No modificado en esta revisión.
c642aca0da291d1b751afa4065a307f5,f2dd31f15cb00b42082c8d0d550a4417,carrefour,2026-05-24,https://www.carrefour.es/supermercado/papel-freidora-de-aire-tipo-molde-fami-50-ud/R-VC4AECOMM-196224/p,Papel freidora de aire tipo molde Fami 50 ud.,Air Fryer,Accesorios Air Fryer,,"5,59 €",5.59,"0,11 €/ud",0.11 €/ud,0.11,ud,count,0.11,ud,50 ud,1,,,ud,50,ud,count,count,parsed,product_name_regex,matched_unit_price,false,keep_fully_parsed,,,,false,missing,,air fryer,accesorios air fryer,papel freidora de aire tipo molde fami 50 ud.,Hogar y Personal,Limpieza y Hogar,Hogar,Fami,high,web_verified_brand_dictionary,Fami,page_brand_field_verified_on_sample,brand_dictionary_from_accessible_product_page,Marca contrastada con el campo de marca de una ficha accesible y aplicada a nombres equivalentes.
13dab469b312044fb635b27893d82672,7b88d580a6ed8a8a34a267d3d363c587,carrefour,2026-05-24,https://www.carrefour.es/supermercado/set-50-moldes-de-papel-para-freidora-de-aire-cuadrado-20x20x45-cm-masterpro-foodies/R-VC4AECOMM-526307/p,"Set 50 Moldes de Papel para Freidora de Aire Cuadrado 20x20x4,5 cm MASTERPRO Foodies",Air Fryer,Accesorios Air Fryer,,"2,49 €",2.49,"0,05 €/ud",0.05 €/ud,0.05,ud,count,0.05,ud,,,,,,49.8,ud,count,derived,parsed,unit_price_ratio,derived_from_unit_price,false,keep_fully_parsed,,,,false,missing,,air fryer,accesorios air fryer,"set 50 moldes de papel para freidora de aire cuadrado 20x20x4,5 cm masterpro foodies",Hogar y Personal,Limpieza y Hogar,Hogar,Freidora de Aire Cuadrado MASTERPRO Foodies,high,capitalized_span,Freidora de Aire Cuadrado MASTERPRO Foodies,not_in_low_medium_scope,existing_high_confidence,No modificado en esta revisión.
2583f8ceec6a3bdc78213c2b2d7e5226,678574bbca8ab9ad81aab52cc35db3a3,carrefour,2026-05-24,https://www.carrefour.es/supermercado/sazonador-espcial-air-fryer-tasty-chicken-ducros-120-g/R-VC4AECOMM-671577/p,Sazonador espcial Air Fryer Tasty Chicken Ducros 120 g.,Air Fryer,Accesorios Air Fryer,,"3,99 €",3.99,"33,25 €/kg",33.25 €/kg,33.25,kg,weight,33.25,kg,120 g,1,120,g,,0.12,kg,weight,single,parsed,product_name_regex,matched_unit_price,false,keep_fully_parsed,,,,false,missing,,air fryer,accesorios air fryer,sazonador espcial air fryer tasty chicken ducros 120 g.,Hogar y Personal,Limpieza y Hogar,Hogar,Air Fryer Tasty Chicken Ducros,high,capitalized_span,Air Fryer Tasty Chicken Ducros,not_in_low_medium_scope,existing_high_confidence,No modificado en esta revisión.
baf9ec01a159e510362b2eb1e091e626,02a19dadf8ed0ba05d9df618fdfec26e,carrefour,2026-05-24,https://www.carrefour.es/supermercado/papel-cuadrado-especial-para-freidoras-de-aire-ecofami-50-ud/R-VC4AECOMM-479594/p,Papel cuadrado especial para freidoras de aire Ecofami 50 ud.,Air Fryer,Accesorios Air Fryer,,"5,59 €",5.59,"0,11 €/ud",0.11 €/ud,0.11,ud,count,0.11,ud,50 ud,1,,,ud,50,ud,count,count,parsed,product_name_regex,matched_unit_price,false,keep_fully_parsed,,,,false,missing,,air fryer,accesorios air fryer,papel cuadrado especial para freidoras de aire ecofami 50 ud.,Hogar y Personal,Limpieza y Hogar,Hogar,Ecofami,high,repeated_brand_phrase_match,Ecofami,name_and_url_slug_match,brand_phrase_present_in_product_name_and_url_slug,La frase de marca aparece en el nombre y en el slug del enlace.
ac0732bd35498fabe8cd010d1f9a9043,7618b495262a4a30dd9ff6f50c3d45ae,carrefour,2026-05-24,https://www.carrefour.es/supermercado/papel-rectangular-especial-para-freidoras-de-aire-ecofami-50-ud/R-VC4AECOMM-479595/p,Papel rectangular especial para freidoras de aire Ecofami 50 ud.,Air Fryer,Accesorios Air Fryer,,"5,59 €",5.59,"0,11 €/ud",0.11 €/ud,0.11,ud,count,0.11,ud,50 ud,1,,,ud,50,ud,count,count,parsed,product_name_regex,matched_unit_price,false,keep_fully_parsed,,,,false,missing,,air fryer,accesorios air fryer,papel rectangular especial para freidoras de aire ecofami 50 ud.,Hogar y Personal,Limpieza y Hogar,Hogar,Ecofami,high,repeated_brand_phrase_match,Ecofami,name_and_url_slug_match,brand_phrase_present_in_product_name_and_url_slug,La frase de marca aparece en el nombre y en el slug del enlace.
c24b70333d3e21b3939ee0ac98822250,7ab70270e48ab04e310993716199a058,carrefour,2026-05-24,https://www.carrefour.es/supermercado/sazonador-especial-air-fryer-veggilicious-ducros-125-g/R-VC4AECOMM-671562/p,Sazonador especial Air Fryer Veggilicious Ducros 125 g.,Air Fryer,Accesorios Air Fryer,,"3,99 €",3.99,"31,92 €/kg",31.92 €/kg,31.92,kg,weight,31.92,kg,125 g,1,125,g,,0.125,kg,weight,single,parsed,product_name_regex,matched_unit_price,false,keep_fully_parsed,,,,false,missing,,air fryer,accesorios air fryer,sazonador especial air fryer veggilicious ducros 125 g.,Hogar y Personal,Limpieza y Hogar,Hogar,Air Fryer Veggilicious Ducros,high,capitalized_span,Air Fryer Veggilicious Ducros,not_in_low_medium_scope,existing_high_confidence,No modificado en esta revisión.
