rule_id,level,target,field,match_type,pattern,supermarket,priority
1,category,Frutas y Verduras,category_norm,regex,\bfrutas?\b,,10
2,category,Frutas y Verduras,subcategory_norm,contains,\bfrutas?\b,,10
3,subcategory,Frutas,category_norm,contains,\bfrutas?\b,,10
4,subcategory,Frutas,subcategory_norm,contains,\bfrutas?\b,,10
5,category,Frutas y Verduras,category_norm,contains,\bverduras?\b,,10
6,category,Frutas y Verduras,subcategory_norm,contains,\bverduras?\b,,10
7,subcategory,Hortalizas,category_norm,contains,\bverduras?\b,,10
8,subcategory,Hortalizas,subcategory_norm,contains,\bverduras?\b,,10
9,category,Lácteos y Huevos,category_norm,contains,lacteos,,10
10,category,Lácteos y Huevos,category_norm,contains,huevo,,10
11,category,Lácteos y Huevos,category_norm,contains,quesos,,10
12,category,Lácteos y Huevos,subcategory_norm,contains,quesos,,10
13,category,Lácteos y Huevos,subcategory_norm,contains,yogur,,10
14,subcategory,Leches y Bebidas lácteas,category_norm,contains,leche,,10
15,subcategory,Huevos,category_norm,contains,huevo,,10
16,subcategory,Huevos,subcategory_norm,contains,huevo,,10
17,subcategory,Quesos y Cremas,category_norm,contains,quesos,,10
18,subcategory,Quesos y Cremas,subcategory_norm,regex,\b(quesos?|nata|cremas?|bechamel)\b,,10
19,subcategory,Yogures,subcategory_norm,contains,yogur,,10
20,category,Carnes y Pescados,category_norm,regex,\b(charcuteria|fiambres?|embutidos?)\b,,10
21,category,Carnes y Pescados,subcategory_norm,regex,\b(charcuteria|fiambres?|embutidos?)\b,,10
22,category,Carnes y Pescados,category_norm,contains,carne,,10
23,category,Carnes y Pescados,subcategory_norm,contains,carne,,10
24,category,Carnes y Pescados,category_norm,contains,pescado,,10
25,category,Carnes y Pescados,subcategory_norm,contains,pescado,,10
26,subcategory,Charcutería y Fiambres,category_norm,regex,\b(charcuteria|fiambres?|embutidos?)\b,,10
27,subcategory,Charcutería y Fiambres,subcategory_norm,regex,\b(charcuteria|fiambres?|embutidos?)\b,,10
28,category,Carnes y Pescados,subcategory_norm,equals,jamones y paletas,,100
29,subcategory,Charcutería y Fiambres,subcategory_norm,equals,jamones y paletas,,100
30,category,Carnes y Pescados,category_norm,contains,carne,,10
31,category,Carnes y Pescados,subcategory_norm,contains,carne,,10
32,subcategory,Pescados y Mariscos,category_norm,contains,pescado,,10
33,subcategory,Pescados y Mariscos,subcategory_norm,contains,pescado,,10
34,category,Carnes y Pescados,subcategory_norm,equals,"ahumados, surimis, anchoas, pulpos y otros",,100
35,subcategory,Pescados y Mariscos,subcategory_norm,equals,"ahumados, surimis, anchoas, pulpos y otros",,100
36,category,Panadería,subcategory_norm,contains,bolleria,,100
37,subcategory,Bollería y Pastelería,subcategory_norm,contains,bolleria,,100
38,category,Comidas preparadas,category_norm,contains,comida preparada,,100
39,subcategory,Comidas preparadas,category_norm,contains,comida preparada,,100
40,category,Comidas preparadas,category_norm,contains,platos preparados,,100
41,subcategory,Comidas preparadas,category_norm,contains,platos preparados,,100
42,category,Comidas preparadas,subcategory_norm,contains,comida preparada,,100
43,subcategory,Comidas preparadas,subcategory_norm,contains,comida preparada,,100
44,category,Comidas preparadas,subcategory_norm,contains,platos preparados,,100
45,subcategory,Comidas preparadas,subcategory_norm,contains,platos preparados,,100
46,category,Granos y Pastas,category_norm,contains,pastas,,10
47,category,Granos y Pastas,subcategory_norm,contains,pastas,,10
48,category,Granos y Pastas,subcategory_norm,regex,\b(arroz|legumbres)\b,,10
49,subcategory,Arroz y Legumbres,category_norm,regex,\b(arroz|legumbres)\b,,10
50,subcategory,Pasta seca,category_norm,contains,pastas,,10
51,subcategory,Pasta seca,subcategory_norm,contains,pastas,,10
52,category,Aceites y Condimentos,category_norm,contains,aceite,,50
53,subcategory,Aceites y Vinagres,subcategory_norm,contains,aceite,,50
54,category,Aceites y Condimentos,subcategory_norm,equals,"mayonesa, ketchup y otras salsas",,100
55,subcategory,Salsas y Aderezos,subcategory_norm,equals,"mayonesa, ketchup y otras salsas",,100
58,category,Conservas,category_norm,equals,"conservas, caldos y cremas",,80
59,category,Conservas,category_norm,equals,"conservas, sopas y precocinados",,80
60,subcategory,Atún y Pescados en lata,subcategory_norm,contains,atun,,30
61,category,Desayuno y Merienda,subcategory_norm,contains,galletas,,10
62,category,Desayuno y Merienda,subcategory_norm,contains,cafes,,10
63,category,Desayuno y Merienda,subcategory_norm,contains,te,,10
64,category,Desayuno y Merienda,subcategory_norm,contains,cereales,,10
65,category,Desayuno y Merienda,subcategory_norm,contains,mermelada,,10
66,category,Desayuno y Merienda,subcategory_norm,contains,infusiones,,10
67,subcategory,"Café, Té y Cacao",subcategory_norm,contains,infusiones,,10
68,category,Desayuno y Merienda,subcategory_norm,equals,cacaos solubles,,100
69,subcategory,"Café, Té y Cacao",subcategory_norm,equals,cacaos solubles,,100
70,subcategory,Mermeladas y Miel,subcategory_norm,contains,mermelada,,10
71,subcategory,Cereales y Galletas,subcategory_norm,contains,cereales,,10
72,subcategory,Cereales y Galletas,subcategory_norm,contains,galletas,,10
73,subcategory,"Café, Té y Cacao",subcategory_norm,contains,te,,10
74,subcategory,"Café, Té y Cacao",subcategory_norm,contains,cafe,,10
75,category,Postres,subcategory_norm,contains,postres,,20
76,subcategory,Helados y Postres fríos,subcategory_norm,contains,postres,,20
77,category,Postres,subcategory_norm,contains,helados,,20
78,subcategory,Helados y Postres fríos,subcategory_norm,contains,helados,,20
79,category,Postres,subcategory_norm,equals,helados,,100
80,subcategory,Helados y Postres fríos,subcategory_norm,equals,helados,,100
81,category,Sin Alcohol,subcategory_norm,equals,"agua, soda y gaseosas",,30
82,subcategory,Refrescos y Gaseosas,subcategory_norm,equals,"agua, soda y gaseosas",,30
83,category,Sin Alcohol,product_norm,contains,agua mineral,,50
84,subcategory,Agua mineral,product_norm,contains,agua mineral,,50
85,category,Sin Alcohol,category_norm,contains,refrescos,,50
86,subcategory,Refrescos y Gaseosas,category_norm,contains,refrescos,,50
87,category,Sin Alcohol,subcategory_norm,contains,refrescos,,50
88,subcategory,Refrescos y Gaseosas,subcategory_norm,contains,refrescos,,50
89,category,Sin Alcohol,category_norm,contains,zumos,,50
